Location ID,Location Name,Location Group,Location Type,Sensor ID,Place Open,Local Date/Time,UTC Date/Time,# of aggregated records,PM2.5 (ï¿½ï¿½g/mï¿½,PM2.5 (ï¿½ï¿½g/mï¿½ï¿½) c,0.3ï¿½ï¿½m particle c,CO2 (ppm) raw,CO2 (ppm) corrected,Temperature (ï¿½ï¿½C),Temperature (ï¿½ï¿½C) corre,Heat Index (ï¿½ï,Humidity (%) raw,Humidity (%) corrected,TVOC (ppb),TVOC index,NOX index,PM1 (ï¿½ï¿½g/,PM10 (ï¿½ï¿½g/,measure0,measure1,measure2,measure3,measure4,measure5,measure6,measure7,measure8,measure9,measure10,measure11,measure12,measure13,measure14,measure15,measure16,measure17,measure18,measure19
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,FALSE,4/16/2026 7:00,2026-04-15T23:00:00.000Z,60,46.9,46.9,2203,418,418,32.7,33.5,39,38,55,199,192,2,31.4,56.9,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,FALSE,4/16/2026 6:00,2026-04-15T22:00:00.000Z,60,45.1,45.1,2075,426,426,28.7,28.8,31,43,62,336,242,3,30.1,54.3,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,FALSE,4/16/2026 5:00,2026-04-15T21:00:00.000Z,60,41.4,41.4,1791,422,422,27.6,27.5,29.1,45,64,133,134,3,27.7,49.2,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,FALSE,4/16/2026 4:00,2026-04-15T20:00:00.000Z,60,40.2,40.2,1653,426,426,27.8,27.7,29.6,46,66,89,94,3,26.4,47.7,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,FALSE,4/16/2026 3:00,2026-04-15T19:00:00.000Z,60,42,42,1841,435,435,28.3,28.3,30.5,46,65,164,167,3,28.1,50.1,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,FALSE,4/16/2026 2:00,2026-04-15T18:00:00.000Z,60,35.7,35.7,1410,419,419,28.4,28.5,30.8,46,65,85,89,3,23.8,40.7,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,FALSE,4/16/2026 1:00,2026-04-15T17:00:00.000Z,60,34.2,34.2,1272,410,410,28.8,28.9,31.9,47,66,59,61,1,22.5,38.5,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,FALSE,4/16/2026 0:00,2026-04-15T16:00:00.000Z,60,50,50,2236,417,417,29.5,29.7,32.9,44,63,222,201,2,32.9,57.5,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,FALSE,4/15/2026 23:00,2026-04-15T15:00:00.000Z,60,37.7,37.7,1602,414,414,30.1,30.5,34.6,45,64,202,181,1,24.5,42.5,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,FALSE,4/15/2026 22:00,2026-04-15T14:00:00.000Z,60,18.7,18.7,689,404,404,30.7,31.2,36.7,46,66,74,77,1,8.5,19.2,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,FALSE,4/15/2026 21:00,2026-04-15T13:00:00.000Z,60,25.3,25.3,923,408,408,31.4,32,37.3,43,61,74,78,1,15.6,26.1,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,FALSE,4/15/2026 20:00,2026-04-15T12:00:00.000Z,60,39.1,39.1,1652,421,421,32.5,33.2,38.6,38,56,219,206,1,26.3,45.8,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,TRUE,4/15/2026 19:00,2026-04-15T11:00:00.000Z,60,35.5,35.5,1526,425,425,33.2,34.1,38.9,35,51,422,267,1,24.7,39.5,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,TRUE,4/15/2026 18:00,2026-04-15T10:00:00.000Z,59,38.1,38.1,1628,418,418,33.3,34.2,39.5,35,52,188,181,1,25.9,44,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,TRUE,4/15/2026 17:00,2026-04-15T09:00:00.000Z,60,25.5,25.5,981,414,414,34.5,35.6,42.9,35,52,156,153,1,16.4,26.6,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,TRUE,4/15/2026 16:00,2026-04-15T08:00:00.000Z,60,22.3,22.3,820,410,410,35.4,36.7,45.1,34,50,148,122,1,12.3,23.1,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,TRUE,4/15/2026 15:00,2026-04-15T07:00:00.000Z,60,23.5,23.5,890,409,409,35.9,37.3,46.9,34,50,54,55,1,12.2,24.8,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,TRUE,4/15/2026 14:00,2026-04-15T06:00:00.000Z,60,16.7,16.7,682,406,406,36.2,37.7,47.6,34,50,34,32,1,8.4,17.2,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,TRUE,4/15/2026 13:00,2026-04-15T05:00:00.000Z,60,16.4,16.4,707,408,408,36.7,38.2,47.5,32,47,34,32,1,8.3,16.9,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,TRUE,4/15/2026 12:00,2026-04-15T04:00:00.000Z,59,19.5,19.5,762,411,411,36.6,38.1,48.6,33,49,38,36,1,10.5,20.1,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,TRUE,4/15/2026 11:00,2026-04-15T03:00:00.000Z,60,25.2,25.2,942,413,413,36.7,38.3,50,35,51,50,51,1,16.2,25.9,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,TRUE,4/15/2026 10:00,2026-04-15T02:00:00.000Z,60,29.5,29.5,1111,415,415,37.8,39.5,52,32,48,56,57,1,20.6,31,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,TRUE,4/15/2026 9:00,2026-04-15T01:00:00.000Z,60,29.5,29.5,1069,410,410,36.2,37.7,47.2,33,49,49,49,1,19.9,31,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,TRUE,4/15/2026 8:00,2026-04-15T00:00:00.000Z,60,28.5,28.5,1048,410,410,35.9,37.2,46.4,34,50,61,63,1,19.6,29.7,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,FALSE,4/15/2026 7:00,2026-04-14T23:00:00.000Z,60,32.4,32.4,1260,417,417,33.9,35,43.2,39,56,99,104,1,22.3,35.7,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,FALSE,4/15/2026 6:00,2026-04-14T22:00:00.000Z,60,35,35,1345,414,414,30.5,30.9,36.2,47,66,157,159,2,23.6,39.7,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,FALSE,4/15/2026 5:00,2026-04-14T21:00:00.000Z,60,34,34,1336,421,421,28.8,28.9,32.4,49,69,220,210,3,23,38.6,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,FALSE,4/15/2026 4:00,2026-04-14T20:00:00.000Z,60,35.5,35.5,1435,430,430,28.8,28.9,32.2,48,68,210,203,3,24.1,40.9,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,FALSE,4/15/2026 3:00,2026-04-14T19:00:00.000Z,60,34.7,34.7,1351,424,424,29,29.1,32.5,48,68,414,318,3,23.2,39.5,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,FALSE,4/15/2026 2:00,2026-04-14T18:00:00.000Z,60,33.7,33.7,1312,418,418,29.2,29.4,32.9,47,66,716,310,2,22.7,37.7,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,FALSE,4/15/2026 1:00,2026-04-14T17:00:00.000Z,60,28.8,28.8,1063,414,414,29.3,29.5,33,46,66,72,75,2,19,30.4,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,FALSE,4/15/2026 0:00,2026-04-14T16:00:00.000Z,60,30.9,30.9,1151,413,413,29.7,30,33.9,46,66,150,146,2,21.2,33.2,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,FALSE,4/14/2026 23:00,2026-04-14T15:00:00.000Z,60,40.1,40.1,1660,414,414,30.5,30.9,35.7,45,64,1071,440,1,26.4,47.1,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,FALSE,4/14/2026 22:00,2026-04-14T14:00:00.000Z,60,39.4,39.4,1733,416,416,31.1,31.7,36.8,43,62,624,315,2,26.2,45.9,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,FALSE,4/14/2026 21:00,2026-04-14T13:00:00.000Z,55,30.3,30.3,1098,411,411,31.5,32.1,36.9,41,59,140,135,1,20.3,32.2,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,FALSE,4/14/2026 20:00,2026-04-14T12:00:00.000Z,53,29,29,1033,407,407,31.6,32.1,37.1,41,59,63,66,1,19.5,30.1,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,TRUE,4/14/2026 19:00,2026-04-14T11:00:00.000Z,56,30.4,30.4,1127,411,411,32.2,32.9,39.9,43,62,166,159,1,20.6,32.5,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,TRUE,4/14/2026 18:00,2026-04-14T10:00:00.000Z,54,29.2,29.2,1077,407,407,32.9,33.8,42.6,44,63,182,179,1,19.1,31.4,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,TRUE,4/14/2026 17:00,2026-04-14T09:00:00.000Z,58,18.9,18.9,717,406,406,34.2,35.3,44.7,40,58,173,161,1,9.5,19.4,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,TRUE,4/14/2026 16:00,2026-04-14T08:00:00.000Z,59,20.6,20.6,859,407,407,35.7,37,47.8,37,54,76,79,1,12.6,22.2,,,,,,,,,,,,,,,,,,,,
