Location ID,Location Name,Location Group,Location Type,Sensor ID,Place Open,Local Date/Time,UTC Date/Time,# of aggregated records,PM2.5 (ï¿½ï¿½g/mï¿½,PM2.5 (ï¿½ï¿½g/mï¿½ï¿½) c,0.3ï¿½ï¿½m particle c,CO2 (ppm) raw,CO2 (ppm) corrected,Temperature (ï¿½ï¿½C),Temperature (ï¿½ï¿½C) corre,Heat Index (ï¿½ï,Humidity (%) raw,Humidity (%) corrected,TVOC (ppb),TVOC index,NOX index,PM1 (ï¿½ï¿½g/,PM10 (ï¿½ï¿½g/,measure0,measure1,measure2,measure3,measure4,measure5,measure6,measure7,measure8,measure9,measure10,measure11,measure12,measure13,measure14,measure15,measure16,measure17,measure18,measure19
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,TRUE,2/6/2026 8:00,2026-02-06T00:00:00.000Z,56,44,32.5,2222,452,452,26.9,26.7,28.5,51,72,137,139,1,30.1,55.8,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,FALSE,2/6/2026 7:00,2026-02-05T23:00:00.000Z,54,47.2,36,2556,472,472,26.7,26.4,27.6,52,72,280,242,1,32.8,59.9,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,FALSE,2/6/2026 6:00,2026-02-05T22:00:00.000Z,32,38.3,25.8,1823,437,437,26.2,25.8,26.4,53,75,159,153,1,26.3,48.4,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,FALSE,2/6/2026 5:00,2026-02-05T21:00:00.000Z,28,40.5,27.3,1889,448,448,23.9,23.1,23.3,64,88,96,100,1,27.4,53.4,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,FALSE,2/5/2026 22:00,2026-02-05T14:00:00.000Z,3,17,10.5,686,417,417,27,26.8,28.4,48,68,858,445,1,6.8,20.2,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,FALSE,2/5/2026 21:00,2026-02-05T13:00:00.000Z,60,20.3,12.3,804,421,421,27.1,26.9,28.5,48,68,848,423,1,10.3,23.9,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,FALSE,2/5/2026 20:00,2026-02-05T12:00:00.000Z,58,26.8,15.8,1055,423,423,27.1,26.9,28.5,47,66,1282,472,1,17.8,30.4,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,TRUE,2/5/2026 19:00,2026-02-05T11:00:00.000Z,60,23.5,15.7,1065,424,424,27.3,27.1,28.6,46,66,480,278,1,13.3,27.9,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,TRUE,2/5/2026 18:00,2026-02-05T10:00:00.000Z,60,14,9.1,648,415,415,27.3,27.1,28.7,47,66,292,250,1,6.4,17.9,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,TRUE,2/5/2026 17:00,2026-02-05T09:00:00.000Z,53,5.3,4.4,394,419,419,27,26.8,28.2,48,67,95,100,1,2,6.8,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,TRUE,2/5/2026 15:00,2026-02-05T07:00:00.000Z,9,2.9,3.2,280,414,414,26.6,26.3,27.2,47,66,79,81,1,0.1,4,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,FALSE,2/4/2026 22:00,2026-02-04T14:00:00.000Z,6,24.5,14.4,954,423,423,26.7,26.4,27.1,48,68,2339,500,1,14.7,29.8,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,FALSE,2/4/2026 21:00,2026-02-04T13:00:00.000Z,59,28.7,16.9,1117,423,423,26.8,26.5,27.5,48,68,1632,487,1,18.7,33.1,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,FALSE,2/4/2026 20:00,2026-02-04T12:00:00.000Z,60,28.2,16.6,1081,420,420,27,26.8,28.3,47,66,1102,461,1,19.1,32.6,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,TRUE,2/4/2026 19:00,2026-02-04T11:00:00.000Z,60,19.6,12.1,791,413,413,27.4,27.3,28.9,46,65,457,315,1,9.7,23.2,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,TRUE,2/4/2026 18:00,2026-02-04T10:00:00.000Z,60,8.5,6.3,493,410,410,27.8,27.7,29.5,45,64,239,217,1,3.9,12.1,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,TRUE,2/4/2026 17:00,2026-02-04T09:00:00.000Z,60,7.1,5.7,411,407,407,28.4,28.4,30.4,44,62,167,158,1,2.5,9.4,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,TRUE,2/4/2026 16:00,2026-02-04T08:00:00.000Z,60,2.5,3.3,290,406,406,28.7,28.8,31,43,62,112,115,1,0.4,3.8,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,TRUE,2/4/2026 15:00,2026-02-04T07:00:00.000Z,42,1.7,2.8,255,405,405,29.2,29.4,32,44,62,33,30,1,0,3,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,TRUE,2/4/2026 14:00,2026-02-04T06:00:00.000Z,60,1.5,2.8,252,403,403,29.9,30.2,33.6,43,62,26,22,1,0.2,2.9,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,TRUE,2/4/2026 13:00,2026-02-04T05:00:00.000Z,60,2.1,3.1,257,408,408,30,30.4,33.9,43,62,31,27,1,0.4,3.6,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,TRUE,2/4/2026 12:00,2026-02-04T04:00:00.000Z,60,17.7,11.9,867,415,415,29.2,29.4,33.3,48,68,23,19,2,12,21.6,,,,,,,,,,,,,,,,,,,,
