Location ID,Location Name,Location Group,Location Type,Sensor ID,Place Open,Local Date/Time,UTC Date/Time,# of aggregated records,PM2.5 (��g/m�,PM2.5 (��g/m��) c,0.3��m particle c,CO2 (ppm) raw,CO2 (ppm) corrected,Temperature (��C),Temperature (��C) corre,Heat Index (��,Humidity (%) raw,Humidity (%) corrected,TVOC (ppb),TVOC index,NOX index,PM1 (��g/,PM10 (��g/,measure0,measure1,measure2,measure3,measure4,measure5,measure6,measure7,measure8,measure9,measure10,measure11,measure12,measure13,measure14,measure15,measure16,measure17,measure18,measure19,timestamp
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,12/26/2025 17:00,2025-12-26T09:00:00.000Z,60,5.6,17.1,443,521,521,32.1,32.8,39.8,44,62,142,142,1,2.8,6.1,,,,,,,,,,,,,,,,,,,,,2025-12-26 17:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,12/26/2025 18:00,2025-12-26T10:00:00.000Z,60,11.7,23.0,595,648,648,31.9,32.6,40.2,46,65,93,98,1,5.5,13.0,,,,,,,,,,,,,,,,,,,,,2025-12-26 18:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,12/26/2025 19:00,2025-12-26T11:00:00.000Z,60,32.8,34.7,1374,588,588,31.7,32.3,39.5,46,65,85,90,1,19.7,38.7,,,,,,,,,,,,,,,,,,,,,2025-12-26 19:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,False,12/26/2025 20:00,2025-12-26T12:00:00.000Z,60,45.0,45.0,2203,603,603,31.6,32.2,39.2,46,65,148,152,1,29.7,55.5,,,,,,,,,,,,,,,,,,,,,2025-12-26 20:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,False,12/26/2025 21:00,2025-12-26T13:00:00.000Z,60,45.6,45.6,2309,601,601,31.5,32.1,39.3,46,66,441,272,1,30.3,56.3,,,,,,,,,,,,,,,,,,,,,2025-12-26 21:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,False,12/26/2025 22:00,2025-12-26T14:00:00.000Z,60,43.9,43.9,2259,600,600,31.5,32.1,39.2,46,66,655,324,1,29.9,53.6,,,,,,,,,,,,,,,,,,,,,2025-12-26 22:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,False,12/26/2025 23:00,2025-12-26T15:00:00.000Z,60,35.6,35.6,1651,593,593,31.3,31.9,38.6,47,66,368,243,1,24.8,41.7,,,,,,,,,,,,,,,,,,,,,2025-12-26 23:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,False,12/27/2025 0:00,2025-12-26T16:00:00.000Z,60,42.5,42.5,2222,609,609,31.2,31.7,38.4,47,67,398,275,1,29.7,51.5,,,,,,,,,,,,,,,,,,,,,2025-12-27 00:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,False,12/27/2025 1:00,2025-12-26T17:00:00.000Z,60,45.4,45.4,2508,617,617,31.0,31.5,37.9,47,67,240,220,1,31.6,55.4,,,,,,,,,,,,,,,,,,,,,2025-12-27 01:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,False,12/27/2025 2:00,2025-12-26T18:00:00.000Z,60,45.1,45.1,2403,589,589,30.9,31.4,37.6,47,67,133,139,1,31.0,54.9,,,,,,,,,,,,,,,,,,,,,2025-12-27 02:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,False,12/27/2025 3:00,2025-12-26T19:00:00.000Z,60,41.7,41.7,2106,577,577,30.8,31.3,37.5,47,67,418,271,1,28.7,50.3,,,,,,,,,,,,,,,,,,,,,2025-12-27 03:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,False,12/27/2025 4:00,2025-12-26T20:00:00.000Z,59,38.5,38.5,1826,579,579,30.7,31.1,37.0,47,67,85,90,1,26.4,45.9,,,,,,,,,,,,,,,,,,,,,2025-12-27 04:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,False,12/27/2025 5:00,2025-12-26T21:00:00.000Z,60,35.1,35.1,1618,565,565,30.5,30.9,36.5,48,67,63,66,1,24.4,41.1,,,,,,,,,,,,,,,,,,,,,2025-12-27 05:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,False,12/27/2025 6:00,2025-12-26T22:00:00.000Z,60,32.4,32.4,1406,560,560,30.4,30.8,36.2,48,67,53,54,1,22.4,36.4,,,,,,,,,,,,,,,,,,,,,2025-12-27 06:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,False,12/27/2025 7:00,2025-12-26T23:00:00.000Z,60,32.8,32.8,1439,538,538,30.3,30.7,36.2,48,68,61,64,2,22.6,37.4,,,,,,,,,,,,,,,,,,,,,2025-12-27 07:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,12/27/2025 8:00,2025-12-27T00:00:00.000Z,60,33.1,33.1,1471,508,508,30.6,31.0,36.7,47,67,51,51,2,23.0,37.8,,,,,,,,,,,,,,,,,,,,,2025-12-27 08:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,12/27/2025 9:00,2025-12-27T01:00:00.000Z,60,21.7,25.1,913,450,450,31.1,31.7,37.4,45,64,29,25,2,13.2,23.1,,,,,,,,,,,,,,,,,,,,,2025-12-27 09:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,12/27/2025 10:00,2025-12-27T02:00:00.000Z,57,11.2,23.5,627,451,451,32.1,32.8,39.3,42,61,192,145,1,6.1,12.3,,,,,,,,,,,,,,,,,,,,,2025-12-27 10:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,12/27/2025 11:00,2025-12-27T03:00:00.000Z,60,21.1,24.7,922,441,441,32.7,33.5,40.4,41,59,47,47,1,12.4,22.8,,,,,,,,,,,,,,,,,,,,,2025-12-27 11:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,12/27/2025 12:00,2025-12-27T04:00:00.000Z,60,28.5,29.1,1255,420,420,33.4,34.3,42.0,40,58,36,34,1,19.8,31.1,,,,,,,,,,,,,,,,,,,,,2025-12-27 12:00:00+08:00
