Location ID,Location Name,Location Group,Location Type,Sensor ID,Place Open,Local Date/Time,UTC Date/Time,# of aggregated records,PM2.5 (��g/m�,PM2.5 (��g/m��) c,0.3��m particle c,CO2 (ppm) raw,CO2 (ppm) corrected,Temperature (��C),Temperature (��C) corre,Heat Index (��,Humidity (%) raw,Humidity (%) corrected,TVOC (ppb),TVOC index,NOX index,PM1 (��g/,PM10 (��g/,measure0,measure1,measure2,measure3,measure4,measure5,measure6,measure7,measure8,measure9,measure10,measure11,measure12,measure13,measure14,measure15,measure16,measure17,measure18,measure19,timestamp
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,1/29/2026 15:00,2026-01-29T07:00:00.000Z,60,1.3,2.5,242.0,400.0,400.0,28.8,28.9,31.3,44.0,63.0,138.0,132.0,1.0,0.1,2.1,,,,,,,,,,,,,,,,,,,,,2026-01-29 15:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,1/29/2026 16:00,2026-01-29T08:00:00.000Z,15,3.0,3.2,328.0,399.0,399.0,28.6,28.6,31.0,45.0,64.0,145.0,140.0,1.0,1.0,4.2,,,,,,,,,,,,,,,,,,,,,2026-01-29 16:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,1/30/2026 13:00,2026-01-30T05:00:00.000Z,3,22.8,10.8,793.0,471.0,471.0,22.0,20.9,20.9,81.0,100.0,28.0,25.0,1.0,10.4,24.9,,,,,,,,,,,,,,,,,,,,,2026-01-30 13:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,1/30/2026 14:00,2026-01-30T06:00:00.000Z,5,22.5,10.9,881.0,445.0,445.0,23.0,22.1,22.1,77.0,100.0,87.0,92.0,1.0,11.5,25.2,,,,,,,,,,,,,,,,,,,,,2026-01-30 14:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,1/30/2026 15:00,2026-01-30T07:00:00.000Z,40,49.9,37.7,2629.0,441.0,441.0,25.4,24.9,25.8,66.0,90.0,101.0,106.0,1.0,34.4,61.5,,,,,,,,,,,,,,,,,,,,,2026-01-30 15:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,1/30/2026 16:00,2026-01-30T08:00:00.000Z,45,25.4,14.2,1114.0,421.0,421.0,26.2,25.9,26.7,62.0,85.0,82.0,84.0,1.0,17.3,29.4,,,,,,,,,,,,,,,,,,,,,2026-01-30 16:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,False,2/3/2026 5:00,2026-02-02T21:00:00.000Z,30,44.6,31.5,2292.0,480.0,480.0,23.8,23.0,23.1,63.0,87.0,89.0,94.0,2.0,31.6,54.6,,,,,,,,,,,,,,,,,,,,,2026-02-03 05:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,False,2/3/2026 6:00,2026-02-02T22:00:00.000Z,60,41.1,28.4,2112.0,472.0,472.0,25.6,25.2,25.8,56.0,78.0,301.0,205.0,2.0,29.1,50.7,,,,,,,,,,,,,,,,,,,,,2026-02-03 06:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,False,2/3/2026 7:00,2026-02-02T23:00:00.000Z,60,38.5,25.9,1907.0,465.0,465.0,26.9,26.6,28.1,52.0,72.0,240.0,208.0,1.0,27.3,47.9,,,,,,,,,,,,,,,,,,,,,2026-02-03 07:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,2/3/2026 8:00,2026-02-03T00:00:00.000Z,59,38.6,25.7,1721.0,450.0,450.0,27.4,27.2,29.2,49.0,70.0,51.0,52.0,1.0,25.6,50.8,,,,,,,,,,,,,,,,,,,,,2026-02-03 08:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,2/3/2026 9:00,2026-02-03T01:00:00.000Z,55,36.2,23.6,1591.0,450.0,450.0,29.5,29.8,33.3,45.0,65.0,64.0,66.0,1.0,24.4,45.4,,,,,,,,,,,,,,,,,,,,,2026-02-03 09:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,2/3/2026 10:00,2026-02-03T02:00:00.000Z,60,17.5,11.4,847.0,446.0,446.0,30.8,31.3,35.8,43.0,61.0,62.0,65.0,1.0,11.9,20.6,,,,,,,,,,,,,,,,,,,,,2026-02-03 10:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,2/3/2026 11:00,2026-02-03T03:00:00.000Z,54,2.8,3.7,320.0,422.0,422.0,30.9,31.4,35.4,41.0,59.0,38.0,37.0,1.0,0.7,3.6,,,,,,,,,,,,,,,,,,,,,2026-02-03 11:00:00+08:00
