"location_key","source","external_id","name","locality","country_iso","owner_name","provider_name","is_monitor","is_mobile","latitude","longitude","geom","created_at","updated_at"
"openaq:3097120","openaq","3097120","Circle Living Prototype","NaN","TH","Unknown Person","AirGradient",False,False,13.750578,100.556228,"0101000020E6100000A647533D99235940B63176C24B802B40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:3098346","openaq","3098346","Svartbäcksgatan 108",NULL,"SE","Unknown Person","AirGradient",False,False,59.879087,17.6204637,"0101000020E6100000EBDA83B5D69E31405CAB3DEC85F04D40","2026-06-06 13:35:24.296129+00","2026-06-07 17:22:07.437197+00"
"openaq:3098869","openaq","3098869","NIST International School","NaN","TH","Unknown Person","AirGradient",False,False,13.747719895912152,100.56011829186963,"0101000020E61000002C5E64FAD8235940BE056724D57E2B40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:3323686","openaq","3323686","Kilbowie Roundabout Clydebank Glasgow",NULL,"GB","Unknown Person","AirGradient",False,False,55.9181146,-4.4063504,"0101000020E6100000B7DDBA511AA011C0757D7AC784F54B40","2026-06-06 13:35:24.296129+00","2026-06-07 17:22:07.437197+00"
"openaq:3332045","openaq","3332045","Soi Ramintra 62","NaN","TH","Unknown Person","AirGradient",False,False,13.8306134,100.6690372,"0101000020E6100000AD736781D12A59401E3DD92846A92B40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:3354390","openaq","3354390","Soi Cowboy","NaN","TH","Unknown Person","AirGradient",False,False,13.7370851,100.562983,"0101000020E61000000E4DD9E907245940DFBCDD3763792B40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:3370071","openaq","3370071","Pasay-Taft","NaN","PH","Clarity","Clarity",False,False,14.5377,121.00094,"0101000020E61000008750A5660F405E404F1E166A4D132D40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:3370072","openaq","3370072","Boni Serrano","NaN","PH","Clarity","Clarity",False,False,14.61071,121.05484,"0101000020E6100000CFA0A17F82435E4029AE2AFBAE382D40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:3370151","openaq","3370151","Mandaluyong City","NaN","PH","Clarity","Clarity",False,False,14.58455,121.01877,"0101000020E61000005709168733415E40ECC039234A2B2D40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:3400894","openaq","3400894","Kilbowie Rd Clydebank Glasgow",NULL,"GB","Scotswolds Ltd","AirGradient",False,False,55.9179442,-4.4060748,"0101000020E610000041EB8612D29F11C0C5460F327FF54B40","2026-06-06 13:35:24.296129+00","2026-06-07 17:22:07.437197+00"
"openaq:3400903","openaq","3400903","Soi Cowboy ","NaN","TH","M cross","AirGradient",False,False,13.7370851,100.562983,"0101000020E61000000E4DD9E907245940DFBCDD3763792B40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:3400935","openaq","3400935","MI Home","NaN","TH","Thung Hua Sinn Group","AirGradient",False,False,13.698573693307418,100.5959569057577,"0101000020E610000080036F2824265940DD337D73AB652B40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
